"","x"
"1",0.05166385
"2",0.05089679
"3",0.05089679
"4",0.05145312
"5",0.05272469
"6",0.0523839
"7",0.05313249
"8",0.05365834
"9",0.05511624
"10",0.05527776
"11",0.05537277
"12",0.05585552
"13",0.05631552
"14",0.0564438
"15",0.0556399
"16",0.05667491
"17",0.05709717
"18",0.05696357
"19",0.05648961
"20",0.0569213
"21",0.05762227
"22",0.05720441
"23",0.0571491
"24",0.05762257
"25",0.05866191
"26",0.05789838
"27",0.05697124
"28",0.05694768
"29",0.05692653
"30",0.0566504
"31",0.05713015
"32",0.05748944
"33",0.05780193
"34",0.05814373
"35",0.05792869
"36",0.0571002
"37",0.05655867
"38",0.05724632
"39",0.05732742
"40",0.05757369
"41",0.05747422
"42",0.05759493
"43",0.05783426
"44",0.05829345
"45",0.05823603
"46",0.05808337
"47",0.05785304
"48",0.05764649
"49",0.05804091
"50",0.05876569
"51",0.05854311
"52",0.05822021
"53",0.05812228
"54",0.05871259
"55",0.05843176
"56",0.05866739
"57",0.05884627
"58",0.05881853
"59",0.05908401
"60",0.05944169
"61",0.05986226
"62",0.05969826
"63",0.06007111
"64",0.06042181
"65",0.05995627
"66",0.05987344
"67",0.05947859
"68",0.0598663
"69",0.06023918
"70",0.06023835
"71",0.06043392
"72",0.060654
"73",0.06036662
"74",0.060096
"75",0.06004056
"76",0.05952366
"77",0.0601985
"78",0.06030025
"79",0.05995796
"80",0.06004881
"81",0.06061986
"82",0.06143641
"83",0.06163554
"84",0.06112002
"85",0.06104239
"86",0.06122188
"87",0.06128415
"88",0.06112947
"89",0.06107802
"90",0.06101018
"91",0.06078171
"92",0.06060065
"93",0.06073464
"94",0.0606708
"95",0.06060683
"96",0.06052296
"97",0.06052377
"98",0.06053944
"99",0.06093997
"100",0.0611698
"101",0.06100723
"102",0.06072539
"103",0.0605473
"104",0.060398
"105",0.06053243
"106",0.06045685
"107",0.0603479
"108",0.06036161
"109",0.06045405
"110",0.06054709
"111",0.06029905
"112",0.06009554
"113",0.06014482
"114",0.06027491
"115",0.05997162
"116",0.05974695
"117",0.05950107
"118",0.05918461
"119",0.05898554
"120",0.05889778
"121",0.05885926
"122",0.05878368
"123",0.05873908
"124",0.05865864
"125",0.05851608
"126",0.05840225
"127",0.05842656
"128",0.05848314
"129",0.05843676
"130",0.05829423
"131",0.05831752
"132",0.05825855
"133",0.05814613
"134",0.0581547
"135",0.05829034
"136",0.05859856
"137",0.05869719
"138",0.058628
"139",0.05882017
"140",0.05861714
"141",0.05843567
"142",0.05829917
"143",0.05783125
"144",0.05717762
"145",0.05684411
"146",0.05665077
"147",0.05624396
"148",0.05594998
"149",0.05592127
"150",0.05577124
"151",0.05557939
"152",0.05559532
"153",0.0555949
"154",0.0555269
"155",0.05558555
"156",0.05552317
"157",0.05548767
"158",0.05554046
"159",0.05547218
"160",0.05535352
"161",0.05518776
"162",0.05517637
"163",0.055131
"164",0.05488764
"165",0.05477478
"166",0.05483232
"167",0.05489887
"168",0.05477017
"169",0.05463898
"170",0.05460623
"171",0.05460305
"172",0.05443387
"173",0.05416145
"174",0.05408297
"175",0.05400437
"176",0.05386226
"177",0.05364729
"178",0.05347234
"179",0.05347155
"180",0.05343283
"181",0.0532668
"182",0.05319187
"183",0.05309992
"184",0.05302652
"185",0.05289471
"186",0.05291253
"187",0.05292541
"188",0.05291276
"189",0.05283193
"190",0.05274392
"191",0.0527027
"192",0.05268014
"193",0.0527333
"194",0.05277273
"195",0.052659
"196",0.05261296
"197",0.05252908
"198",0.05249225
"199",0.05249651
"200",0.05249157
"201",0.0525474
"202",0.05253281
"203",0.05251528
"204",0.05245886
"205",0.05235377
"206",0.05235818
"207",0.0524734
"208",0.05252216
"209",0.05257332
"210",0.05262886
"211",0.05259329
"212",0.05266585
"213",0.05273262
"214",0.05271658
"215",0.05264374
"216",0.05269817
"217",0.05279844
"218",0.05276525
"219",0.0526596
"220",0.05260447
"221",0.05264707
"222",0.0527138
"223",0.05272982
"224",0.05270666
"225",0.05279383
"226",0.05286029
"227",0.05283481
"228",0.05288757
"229",0.05302768
"230",0.05299054
"231",0.05300945
"232",0.05307496
"233",0.05314644
"234",0.0531448
"235",0.05312285
"236",0.05318902
"237",0.05321464
"238",0.05326363
"239",0.05320681
"240",0.05330173
"241",0.05341933
"242",0.05351343
"243",0.05358686
"244",0.05352385
"245",0.05354274
"246",0.05369802
"247",0.05386108
"248",0.05404337
"249",0.05416365
"250",0.05424151
"251",0.05444827
