"V2"	"V2.1"	"V2.2"
"1"	0.04373356	0.02490352	0.05810098
"2"	0.04465182	0.02664263	0.0572269
"3"	0.04465182	0.02664263	0.0572269
"4"	0.04456824	0.02700287	0.06037336
"5"	0.04450525	0.02596188	0.05905801
"6"	0.04585849	0.02695044	0.05912058
"7"	0.04558253	0.0273645	0.05829563
"8"	0.04491654	0.02696275	0.057875
"9"	0.0448094	0.02714285	0.05990424
"10"	0.04506337	0.02781528	0.06166287
"11"	0.04531291	0.02831474	0.06095366
"12"	0.04637263	0.02921325	0.06055264
"13"	0.04694741	0.0286349	0.0598738
"14"	0.04676263	0.02791236	0.05983606
"15"	0.04631178	0.02845243	0.06033758
"16"	0.04431849	0.02816924	0.06016113
"17"	0.04446722	0.02838756	0.06010449
"18"	0.04495171	0.02836885	0.0600046
"19"	0.04459294	0.028442	0.06033878
"20"	0.04505252	0.02911767	0.06124839
"21"	0.04494254	0.02926764	0.06036151
"22"	0.04499459	0.02966768	0.05963218
"23"	0.04511759	0.02924312	0.05879779
"24"	0.0449018	0.02896295	0.05903796
"25"	0.04449542	0.02854136	0.05985234
"26"	0.04449768	0.02905144	0.05994529
"27"	0.04423142	0.0290104	0.05925467
"28"	0.04394677	0.02907275	0.05886341
"29"	0.04339306	0.0286878	0.05812597
"30"	0.0432656	0.02867071	0.05795231
"31"	0.04322097	0.0282505	0.05800764
"32"	0.04312049	0.02836997	0.05823921
"33"	0.04352931	0.02837089	0.05834162
"34"	0.04307521	0.0281486	0.0575872
"35"	0.0425799	0.02798088	0.05752686
"36"	0.04269964	0.02821879	0.05770322
"37"	0.04260781	0.02810938	0.05699999
"38"	0.04281288	0.02810566	0.05657842
"39"	0.04297296	0.02803661	0.05662047
"40"	0.04285393	0.02819864	0.0573719
"41"	0.04283663	0.02871866	0.05738371
"42"	0.04303365	0.0285008	0.05689429
"43"	0.04289161	0.02782178	0.05630443
"44"	0.04298453	0.02776687	0.05622898
"45"	0.0432841	0.02840526	0.05645701
"46"	0.04297581	0.02871584	0.0559761
"47"	0.04260051	0.02849852	0.05608667
"48"	0.04272753	0.02849934	0.05606956
"49"	0.04325502	0.02880326	0.05615084
"50"	0.04322861	0.02864865	0.05559846
"51"	0.04297677	0.02855751	0.05550032
"52"	0.04282629	0.0286888	0.05586865
"53"	0.04313499	0.02878309	0.05573476
"54"	0.042904	0.0286683	0.05571207
"55"	0.0428299	0.02857244	0.05591845
"56"	0.04255638	0.02838819	0.05608953
"57"	0.04263408	0.02887684	0.05584249
"58"	0.04285679	0.02909766	0.05609094
"59"	0.04317958	0.02907202	0.05580483
"60"	0.04360905	0.02929839	0.05640351
"61"	0.04345754	0.0291874	0.05654477
"62"	0.04345384	0.02936301	0.05693018
"63"	0.04351131	0.02922684	0.05681187
"64"	0.04409385	0.02950916	0.05710923
"65"	0.04418215	0.02962967	0.0572587
"66"	0.04403371	0.02975482	0.05741706
"67"	0.04381079	0.02983234	0.05673928
"68"	0.04384992	0.03019073	0.05718657
"69"	0.04397271	0.03008757	0.05729692
"70"	0.04370928	0.02956269	0.05702474
"71"	0.04337754	0.02931914	0.05637937
"72"	0.04326152	0.02985233	0.05625059
"73"	0.04297115	0.02976282	0.05605888
"74"	0.04287642	0.02937189	0.05603525
"75"	0.04279447	0.02908624	0.05581159
"76"	0.04285236	0.02950406	0.05584942
"77"	0.04312126	0.02943696	0.05594357
"78"	0.04372145	0.02951772	0.05670176
"79"	0.04340147	0.02937441	0.05666965
"80"	0.04335379	0.02949285	0.05629647
"81"	0.04351724	0.02975924	0.05637268
"82"	0.04365326	0.02982171	0.05672117
"83"	0.04404088	0.02988437	0.05685404
"84"	0.04419752	0.03028706	0.0573399
"85"	0.04423484	0.03039371	0.05674618
"86"	0.04411416	0.03042431	0.056507
"87"	0.04328822	0.02956612	0.05594635
"88"	0.04273644	0.02923252	0.05523944
"89"	0.04252151	0.0290555	0.05525997
