"","sample","class","N %","C %","Si","Ca","Mg","P","spectra","spectra.index"
"1",125,"W S -",1.77,44.31,2884.61,"3519.81","694.76","837.54","125",1
"2",126,"W S +",1.25,44.4,4623.33,"3134.65","582.64","720.58","126",2
"3",127,"W S ++",1.42,44.27,1718.91,"2473.7399999999998","462.32","375.33","127",3
"4",128,"W L -",2.05,44.57,2698.15,"4743.0200000000004","876.45","666.59","128",4
"5",129,"W L +",2.68,44.42,5348.13,"4726.84","752.08","683.11","129",5
"6",130,"W L ++",3.03,44.45,6683.08,"4738.43","857.63","1053.96","130",6
"7",131,NA,0.71,40.06,22196.1,"1294.69","303.85000000000002","40.56",NA,NA
"8",132,"W S -",1.02,44.94,6571.77,"1105.48","399.03","25.41","132",7
"9",133,"W S +",1.05,44.23,9901.81,"1792.21","516.25","50.27","133",8
"10",134,"W S ++",0.89,43.46,17727.28,"1071.45","332.04","-8.03 u","134",9
"11",135,"W L -",2.53,43.42,13841.8,"4508.18","898.48","768.83","135",10
"12",136,"W L +",1.86,43.4,13443.67,"3006.45","720.26","221.89","136",11
"13",137,"W L ++",2.19,40.14,41892.52,"3396.71","738.38","276.95999999999998","137",12
"14",138,"W R -",2.05,44.68,695.35,"3312.31","638.46","1127.6199999999999","138",13
"15",139,"W R +",1.58,43.92,1336.68,"6768.92","1080.4100000000001","1923.11","139",14
"16",140,"W R ++",2.1,45.54,4358.49,"2355.9499999999998","415.89","1059.72","140",15
"17",141,"W S -",1.37,45.29,3800.27,"1616.88","336.08","147.78","141",16
"18",142,"W S +",1.36,45.46,3958.44,"1750.3","337.72","240.95","142",17
"19",143,"W S ++",1.26,44.39,11974.14,"1550.87","364.47","149.46","143",18
"20",144,"W L -",2.54,44.67,10495.24,"7536.23","1108.55","2601.0700000000002","144",19
"21",145,"W L +",2.85,45.24,11059.27,"7521.79","1074.3399999999999","3313.07","145",20
"22",146,"W L ++",2.74,42.75,31423.43,"6410.2","987.2","2674.28","146",21
"23",147,"W R -",2.28,46.28,2969.93,"5326.18","573.16","1922.22","147",22
"24",148,"W R +",2.19,45.12,2994.42,"4475.38","401.19","1109.82","148",23
"25",149,"W R ++",2.45,47.29,4026.41,"3898.86","496.89","1281.9100000000001",NA,NA
"26",159,NA,0.75,43.45,22872.78,"1210.72","163.68","25.77",NA,NA
"27",160,"W S -",1.33,44.19,7286.67,"2387.61","226.01","425.97","160",24
"28",161,"W S +",NA,NA,NA,NA,NA,NA,NA,NA
"29",162,"W S ++",1.27,42.27,23947.67,"2581.29","210.27","666.75","162",25
"30",163,"W L -",1.75,40.95,21724.62,"12406.99","1106.96","1117.3900000000001","163",26
"31",164,"W L +",NA,NA,NA,NA,NA,NA,NA,NA
"32",165,"W L ++",1.55,36.38,64625.46,"8875.02","632.35","678.83","165",27
"33",166,"W R -",1.91,41.76,1440.49,"25621.03","920.19","14991.18","166",28
"34",167,"W R +",NA,NA,NA,NA,NA,NA,NA,NA
"35",168,"W R ++",2.37,40.03,7179.45,"24707.83","1722.84","16907.36","168",29
"36",169,"W I -",1.3,45.28,1685.92,"339.68","93.2","40.39","169",30
"37",170,"W I +",NA,NA,NA,NA,NA,NA,NA,NA
"38",171,"WI ++",1.35,44.74,6336.04,"1134.47","174.5","347.69","171",31
"39",172,"W S -",1.14,45.43,7595.54,"1464.72","135.16999999999999","201.08","172",32
"40",173,"W S +",1.1,43.15,21184.06,"1557.49","86.64","124.41","173",33
"41",174,"W S ++",1.2,44.59,10555.93,"2870.53","159.71","144.27000000000001","174",34
"42",175,"W L -",3.31,42.91,18710.94,"5820.42","1055.72","2285.9899999999998","175",35
"43",176,"W L +",3.08,38.31,59753.59,"4613.53","735.84","1678.3","176",36
"44",177,"W L ++",3.17,42.77,25394.19,"4990.12","877","1792.75","177",37
"45",178,"W R -",2.62,41.46,1868.29,"27266.73","1164.8900000000001","15818.73","178",38
"46",179,"W R +",2.9,42.05,10402.37,"12934.67","812.04","9670.2199999999993","179",39
"47",180,"W R ++",2.61,38.35,3039.1,"36582.019999999997","1346.41","20135.439999999999","180",40
"48",181,"W I -",2.29,44.98,8726.98,"1023.06","279.99","459.19","181",41
"49",182,"W I +",1.95,43.35,19430.78,"594.08000000000004","240.65","400.71","182",42
"50",183,"WI ++",2.09,44.09,9342.14,"1098.44","296.74","530.30999999999995","183",43
"51",184,"W S -",1.13,45.16,6712.39,"1221.06","150.62","188.24","184",44
"52",185,"W S +",0.98,43.55,22190.63,"1552.51","76.45","205.76","185",45
"53",186,"W S ++",1.06,44.2,12301.49,"1654.85",NA,"335.31","186",46
"54",187,"W L -",2.05,41.55,25118.66,"7708.52","1319.34","3564.39","187",47
"55",188,"W L +",2.34,36.52,72143,"5594.77","925.84","2475.23","188",48
"56",189,"W L ++",2.12,39.95,41546.61,"7516.5","1372.83","3046.33","189",49
"57",190,"W R -",2.49,42.25,2188,"18457.38","1166.69","13618.9","190",50
"58",191,"W R +",2.54,41.09,11385.68,"22460.39","1454.16","15187.63","191",51
"59",192,"W R ++",2.92,37.35,4898.38,"37394.699999999997","1122.6500000000001","22785.5","192",52
"60",193,"W I -",1.56,44.87,8273.46,"1225.8699999999999","183.41","485.49","193",53
"61",194,"W I +",1.21,42.58,30579.72,"694.13","92.15","174.12","194",54
"62",195,"WI ++",2.05,43.91,NA,"-27.59 u","-1.26 u","-52.32 u","195",55
"63",196,"W S -",1,44.96,NA,"-43.29 u","-1.94 u","-59.03 u","196",56
"64",197,"W S - pods",0.85,45.73,NA,"-8.40 u","-0.61 u","-68.33 u","197",57
"65",198,"W S +",0.92,41.64,NA,"6.67 u","-0.23 u","-63.74 u","198",58
"66",199,"W S + pods",0.91,44.53,NA,"34.270000000000003","-0.48 u","-56.50 u","199",59
"67",200,"W S ++",0.99,43.74,17303.7,"1106.94","267.45","291.10000000000002","200",60
"68",201,"W S ++ pods",0.79,45.16,4653.35,"1130.81","171.79","310.2","201",61
"69",202,"W L - Flag",1.69,41.73,2593.4,"1183.2","162.05000000000001","277.68","202",62
"70",203,"WL -",1.65,41.4,19340.74,"2187.36","169.29","701.49","203",63
"71",204,"W L + Flag",1.79,35,13173.1,"1162.82","69.709999999999994","274.45999999999998","204",64
"72",205,"W L +",1.45,34.96,12673.14,"2530.87","497.02","1165.47","205",65
"73",206,"W L ++ Flag",1.72,38.5,6484.08,"1385.53","132.36000000000001","337.58","206",66
"74",207,"W L ++",1.38,38.6,44838.58,"13044.71","1741.25","3975.24","207",67
"75",208,"W R -",2.93,42.88,1040.74,"11162.73","2095.23","2682.63","208",68
"76",209,"W R +",2.65,42.8,11450.23,"9588.19","1094.74","1529.6","209",69
"77",210,"W R ++",3.06,40.85,5335.65,"7514.72","1347.54","1564.2","210",70
"78",211,"W I -",1.18,44.38,11577.23,"10047.290000000001","1211.3699999999999","2223.7399999999998","211",71
"79",212,"W I +",1.19,41.99,29071.9,"8027.86","1485.62","2113.9299999999998","212",72
"80",213,"WI ++",1.03,42.48,1299.68,"14357.59","1190.8699999999999","10865.44","213",73
"81",220,"29 Steam 1",0.94,45.84,8576.93,"5486.11","576.42999999999995","5078.92","220",76
"82",221,"29 pods 2",1.14,42.87,5365.64,"25850.68","1125.07","17967.02","221",77
"83",222,"29 Flag leaves 3",4.45,43.22,14836.95,"2512.94","50.86","179.72","222",78
"84",223,"29 Other leaves 4",2.13,40.35,41452.27,"992.56","111.05","209.4","223",79
"85",224,"29 Inflorecense 5",1.34,44.9,10659.51,"745.66","55","114.44","224",80
"86",225,"29 roots 6",1.56,39.11,6635.9,"1250.78","22.7","124.13","225",81
"87",226,"29 grain 7",3.41,43.29,20781,"1202.55","130.28","212.68","226",82
